interaction_id,n_cliente,date,month,weekday,hour,answered
130513013,5c2d686d79474843bb41b51d4da5c7f5,22/07/2020,JULHO,QUARTA-FEIRA,10,1
48358412,0416967d360143d6b092f6e122f1b98a,17/11/2020,NOVEMBRO,TERCA-FEIRA,16,1
134499523,d3ba89973f5c4778bbdc6a8e408715d5,01/10/2020,OUTUBRO,QUINTA-FEIRA,10,0
137046035,40897170c9d547c583fbbf0492cc78df,23/10/2020,OUTUBRO,SEXTA-FEIRA,15,1
133393885,40897170c9d547c583fbbf0492cc78df,11/09/2020,SETEMBRO,SEXTA-FEIRA,16,1
43540438,1eb40053b1c342aab6e052c74aa98748,23/04/2020,ABRIL,QUINTA-FEIRA,00,1
131728063,e43408e0cde14bb0a8fc10be69cb95d4,13/08/2020,AGOSTO,QUINTA-FEIRA,05,1
48688732,36e50d4331c844bb9ddedde726b7cafc,15/12/2020,DEZEMBRO,TERCA-FEIRA,12,1
126975019,478f1d1946054e38a66fb3da38ef755e,26/05/2020,MAIO,TERCA-FEIRA,13,1
138746215,f144787cc89a4fab9bececcedf5d5595,23/11/2020,NOVEMBRO,SEGUNDA-FEIRA,14,0
48828436,54adf6b114ae46f9a08e060756e26ed5,28/12/2020,DEZEMBRO,SEGUNDA-FEIRA,15,1
41146408,24ea23283533434bb6055b1e9117dde4,17/02/2020,FEVEREIRO,SEGUNDA-FEIRA,19,1
46420434,5ce095386bc647a7b7c7734bb948ae79,15/07/2020,JULHO,QUARTA-FEIRA,18,1
117975475,f04b82907d58474dac86d748087fbd95,13/02/2020,FEVEREIRO,QUINTA-FEIRA,11,1
46825456,d81ddf53119b43649329e08a4b4f93bc,24/08/2020,AGOSTO,SEGUNDA-FEIRA,14,1
48191282,73cfb0eb9a4d4d59a181feaedc4a52a3,13/11/2020,NOVEMBRO,SEXTA-FEIRA,16,1
125935217,ce4b57d989544c38bdd8ec08aa01fe6c,11/05/2020,MAIO,SEGUNDA-FEIRA,16,0
47079014,d3ed306efb4e4bd583eca8fc686c7b63,04/09/2020,SETEMBRO,SEXTA-FEIRA,06,1
47369952,934d2f7318554b59b9be832b7e8d42cc,21/09/2020,SETEMBRO,SEGUNDA-FEIRA,21,1
132273613,1db531296c3147efafc9a1ead855d7a3,24/08/2020,AGOSTO,SEGUNDA-FEIRA,12,1
47875746,fe92248729c44f448481c5780127e6d1,22/10/2020,OUTUBRO,QUINTA-FEIRA,18,1
130938159,ce4b57d989544c38bdd8ec08aa01fe6c,29/07/2020,JULHO,QUARTA-FEIRA,16,0
47961490,9f9adfcb0d5541de96cec459c3a4735c,29/10/2020,OUTUBRO,QUINTA-FEIRA,08,1
47940760,9febe9e0b61545898d8cc0009c541653,27/10/2020,OUTUBRO,TERCA-FEIRA,21,1
137203567,0688dba18bbc4e9ab8cbf2c92703659b,27/10/2020,OUTUBRO,TERCA-FEIRA,11,1
44513806,2f3aa6f07bc74c2886139fea52c6b3d3,05/05/2020,MAIO,TERCA-FEIRA,21,1
134301001,84e4de8dda4f4909b0d7890554e6394b,28/09/2020,SETEMBRO,SEGUNDA-FEIRA,14,0
48723488,ad561cec2209456caec178153ec0df36,16/12/2020,DEZEMBRO,QUARTA-FEIRA,22,1
137839647,c6b1d8797c1a49c48ac459de9c41f90f,06/11/2020,NOVEMBRO,SEXTA-FEIRA,17,1
131737551,270a3d5a6141454b9326e73e207cb870,13/08/2020,AGOSTO,QUINTA-FEIRA,10,1
117721637,826e23c35be2453f91f4fcb2e718f3a0,10/02/2020,FEVEREIRO,SEGUNDA-FEIRA,14,0
124658501,9aa5025024934cf3abd809c6f812d48d,27/04/2020,ABRIL,SEGUNDA-FEIRA,14,0
130434379,9a02e3747f23406cb075c610bde7554e,21/07/2020,JULHO,TERCA-FEIRA,09,1
132346679,c8c6f83d84d3442cb13cff48938984f4,25/08/2020,AGOSTO,TERCA-FEIRA,13,0
137312289,60ed128f63d741e69ac55060fc5e95a2,29/10/2020,OUTUBRO,QUINTA-FEIRA,09,1
